,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
37,deepmsa_DeepJGI_hms_2,0.845295,0.9274130653266333,0.9283236180904524,0.8205877788944723,0.8784874371859297,0.7793,0.7958381772041321,0.974198348473854,0.829106,0.806996,0.8286084377765656
38,deepmsa_DeepJGI_hms_3,0.84421915,0.9280145728643215,0.9288663316582915,0.8227270904522613,0.8796884422110552,0.7817,0.7981365323066711,0.974274127621269,0.803266,0.810872,0.8241971349716186
39,deepmsa_DeepJGI_hms_4,0.84245414,0.9294653266331657,0.9302673366834171,0.8240328693467338,0.8820452261306532,0.777,0.7917864918708801,0.988722685061863,0.835184,0.8166,0.8314948987960815
40,deepmsa_dMSA_0,0.85413575,0.9236105527638191,0.9271407035175878,0.8257998291457287,0.8859045226130654,0.7915,0.776848554611206,0.944713371115745,0.789044,0.800531,0.8308874273300171
41,deepmsa_dMSA_1,0.8534167,0.9240241206030152,0.9256311557788945,0.8165328090452262,0.8747035175879397,0.7827,0.7873360514640808,0.933851693319494,0.780434,0.778346,0.8322745108604431
42,deepmsa_dMSA_2,0.8510275,0.9302437185929647,0.9323346733668342,0.832807095477387,0.8889949748743718,0.7695,0.7895830869674683,0.975525631722529,0.78726,0.786709,0.8236377465724946
43,deepmsa_dMSA_3,0.84908,0.9289859296482412,0.9307613065326633,0.8206541407035175,0.8807336683417084,0.7793,0.793499231338501,0.979562593575765,0.803827,0.790801,0.831922949552536
44,deepmsa_dMSA_4,0.8489675,0.8618728643216077,0.8612005025125627,0.7596750201005024,0.8011055276381908,0.779,0.7672653794288635,0.747979222735581,0.787359,0.817449,0.809741052389145
45,deepmsa_dMSA_hhb_0,0.85625666,0.9275005025125627,0.9291356783919598,0.8285421507537688,0.8818040201005024,0.778,0.8026086091995239,0.963134592951161,0.778147,0.790237,0.8278458786010743
46,deepmsa_dMSA_hhb_1,0.8542933,0.9300934673366833,0.9316125628140703,0.8295455979899496,0.8857788944723617,0.777,0.7912503480911255,0.966439023046046,0.77753,0.776893,0.821902334690094
47,deepmsa_dMSA_hhb_2,0.84522086,0.9318015075376884,0.9324648241206029,0.8266368542713569,0.885788944723618,0.781,0.783640444278717,0.985684630151834,0.821399,0.807264,0.8314186203479768
48,deepmsa_dMSA_hhb_3,0.83639663,0.875599497487437,0.876532663316583,0.7803319447236182,0.8319849246231156,0.7427,0.7604128122329712,0.803484003710882,0.791368,0.802479,0.8111810469627381
49,deepmsa_dMSA_hhb_4,0.8325975,0.8773763819095477,0.8778572864321609,0.7785371658291458,0.8365979899497487,0.734,0.7562433481216431,0.830335081611845,0.821188,0.80767,0.8133657729625702
50,deepmsa_dMSA_hms_0,0.8689358,0.9306130653266332,0.9322015075376885,0.8326820904522613,0.8895427135678392,0.8047,0.7911901473999023,0.958130872883924,0.77106,0.79534,0.8271151387691498
51,deepmsa_dMSA_hms_1,0.85657007,0.9243366834170855,0.9259959798994976,0.8164901909547739,0.8738793969849246,0.7896,0.7901087403297424,0.931991659701109,0.775533,0.774039,0.8326881301403045
52,deepmsa_dMSA_hms_2,0.8540958,0.9239492462311558,0.9259673366834172,0.8131602110552764,0.8718643216080401,0.7876,0.7856091260910034,0.928115441493906,0.766763,0.777274,0.8307250726222991
