,model,plddt_avg
187,def_ptm_drop_s_4.pdb,83.88900646952669
188,default_3.pdb,83.88582367690883
189,dmsa_dom_hhsearch_3.pdb,83.87554074561842
190,def_notemp_drop_nos_3.pdb,83.87332854665046
191,def_ptm_not_drop_nos_0.pdb,83.86880218914045
192,def_notemp_drop_s_3.pdb,83.86226800803892
193,dmsa_dom_hhsearch_4.pdb,83.85063831317261
194,dmsa_dom_manual_3.pdb,83.82075764253239
195,def_notemp_drop_s_4.pdb,83.79292842613255
196,def_notemp_drop_nos_4.pdb,83.7662331626501
197,def_ptm_not_drop_s_0.pdb,83.76227176359721
198,default_4.pdb,83.76160758146526
199,def_drop_nos_3.pdb,83.72332772308708
200,dmsa_dom_manual_4.pdb,83.71849240861934
201,def_ptm_not_drop_nos_1.pdb,83.71638908831943
202,def_ptm_not_drop_nos_2.pdb,83.70817100317504
203,def_drop_nos_4.pdb,83.69796436465191
204,def_ptm_not_drop_s_1.pdb,83.63122355053964
205,def_ptm_not_drop_s_2.pdb,83.60232101102802
206,def_ptm_not_drop_nos_3.pdb,83.5758290633774
207,def_ptm_not_drop_nos_4.pdb,83.56889642244171
208,dmsa_dom_unidoc_0.pdb,83.53350063551163
209,def_ptm_not_drop_s_3.pdb,83.5020694097582
210,def_ptm_not_drop_s_4.pdb,83.48660398480146
211,dmsa_dom_unidoc_1.pdb,83.34004153786644
212,dmsa_dom_unidoc_2.pdb,83.29174868704791
213,dmsa_dom_parser_0.pdb,83.24268705023827
214,dmsa_dom_unidoc_3.pdb,83.23898249065209
215,dmsa_dom_unidoc_4.pdb,83.23086083968238
216,dmsa_dom_parser_1.pdb,83.2016404503901
217,dmsa_dom_parser_2.pdb,83.12956569830982
218,dmsa_dom_parser_3.pdb,83.03805442553173
219,dmsa_dom_parser_4.pdb,83.03729588756411
